id,name,description,created_at,updated_at
239,SSR(技)超サイヤ人バーダック,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
240,SSR(体)超サイヤ人バーダック,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
241,SSR(力)超サイヤ人バーダック,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
242,SSR(体)ブルマ(少女期)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
243,SSR(体)グレートサイヤマン(SS2)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
244,SSR(体)超サイヤ人ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
245,[LRドッカン]UR+魔人ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
246,[LRドッカン]魔人ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
247,[超激]超17号フェスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
248,SSRヘルファイター17号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
249,新SSR17号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
250,SSR(力)17号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
251,SSR(知)18号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
252,SRヘルファイター17号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
253,SR17号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
254,SSR超サイヤ人2孫悟飯ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
255,SSRフルパワーボージャックドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
256,SRザンギャドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
257,ヤムチャドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
258,[超激](知)魔人ブウ(純粋)フェスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
259,SSR(力)孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
260,SSR(知)ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
261,SSR(技)魔人ブウ(悪)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
262,SR(技)魔人ブウ(南の界王神吸収)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
263,SSR(技)則巻アラレ胴着ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
264,SSR(力)孫悟空(少年期)アラレ服ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
265,[LRドッカン]UR+ブロリードッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
266,[LRドッカン]ブロリードッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
267,[超激](知)超ゴジータフェスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
268,SSR(技)パイクーハンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
269,[超激](力)スーパージャネンバドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
270,SR(速)ジャネンバドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
271,SSR(知)孫悟空Jr.ドッカン,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
272,SSR(体)ドッカンゴッド孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
273,SSR(知)ゴッド孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
274,SSR(技)(知)ウイスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
275,SSR(技)(知)合体13号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
276,SSR(技)超サイヤ人ベジータ(GT)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
277,SSR(知)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
278,SSR(力)超サイヤ人孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
279,SSR(技)ターレスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
280,SSR(速)バーダックドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
281,[超激](体)超サイヤ人3ゴテンクスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
282,SSR(速)ゴテンクスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
283,SSR(力)ゴテンクスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
284,SSR(技)超サイヤ人ゴテンクス(青年期)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
285,SSR(知)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
286,SSR(技)バイオブロリードッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
287,SSR(力)人造人間18号ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
288,SSR(速)超サイヤ人孫悟天ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
289,SSR(体)超サイヤ人トランクスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
290,[LRドッカン]SSRミスター・サタンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
291,[LRドッカン]UR+ミスター・サタンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
292,[LRドッカン]LRミスター・サタンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
293,[LRドッカン]UR+ゴクウブラック&ザマスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
294,[LRドッカン]LRゴクウブラック(超サイヤ人ロゼ)&ザマスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
295,SSR(技)バーダック(大猿)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
296,SSR(力)セリパ(大猿)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
297,SSR(知)超サイヤ人トランクス(未来)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
298,[超激]超3ブロリーフェスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
299,[超激]超3ブロリードロップドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
300,SSR(体)孫悟空(少年期)(大猿)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
301,SSR(力)ラディッツ(大猿)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
302,SSR(速)ベジータ(大猿)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
303,SSR(技)ブルマ(少女期)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
304,SSR(速)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
305,SSR(知)パイクーハンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
306,SR(力)孫悟空(天使)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
307,SSR(体)超サイヤ人孫悟空(天使)(超界王拳)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
308,SSR(知)ヒットドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
309,SSR(知)ピッコロドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
310,SSR(技)超4ゴジータフェスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
311,SSR(体)超一星龍フェスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
312,SR(速)一星龍ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
313,SR(体)超2孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
314,SSR(体)ナッパドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
315,SSR(力)亀仙人ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
316,SSR(技)クリリンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
317,SSR(知)ダーブラドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
318,SSR(速)グレートサイヤマンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
319,[LRドッカン]UR+トランクスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
320,[LRドッカン]LR超サイヤ人トランクスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
321,SSR(速)超サイヤ人トランクス(ゼノ)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
322,SSR(技)超サイヤ人トランクス(GT)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
323,SSR(力)バーロットドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
324,SR(速)ターブルドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
325,[超激](力)アルティメット孫悟飯ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
326,[超激](体)魔人ブウ(悪)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
327,SSR(体)超サイヤ人2孫悟飯(青年期)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
328,[LRドッカン]UR+マイティマスクドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
329,[LRドッカン]LRトランクス&悟天ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
330,SSR(力)超サイヤ人孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
331,SSR(速)超ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
332,SSR(知)ジャッキー・チュンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
333,SSR(体)神様ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
334,SSR(速)孫悟空(少年期)(大猿)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
335,[超激](知)ゴールデンフリーザ(天使)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
336,SR(力)フリーザ(最終形態)(天使)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
337,SR(体)孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
338,[LRドッカン]UR+ボージャックドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
339,[LRドッカン]LRボージャック(銀河戦士)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
340,SR(力)ゴクアドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
341,SSR(力)パン(GT)(ハニー)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
342,[超激](体)超ベジットドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
343,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step1,極限Z覚醒：超3悟空step1,2024-07-23 00:22:07,2024-07-23 00:22:07
344,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step2,極限Z覚醒：超3悟空step2,2024-07-23 00:22:07,2024-07-23 00:22:07
345,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step3,極限Z覚醒：超3悟空step3,2024-07-23 00:22:07,2024-07-23 00:22:07
346,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step4,極限Z覚醒：超3悟空step4,2024-07-23 00:22:07,2024-07-23 00:22:07
347,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step5,極限Z覚醒：超3悟空step5,2024-07-23 00:22:07,2024-07-23 00:22:07
348,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step6,極限Z覚醒：超3悟空step6,2024-07-23 00:22:07,2024-07-23 00:22:07
349,[極限]UR(速)超サイヤ人3孫悟空極限Z覚醒step7,極限Z覚醒：超3悟空step7,2024-07-23 00:22:07,2024-07-23 00:22:07
350,SSR(知)ラディッツドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
351,[LRドッカン]UR+天津飯ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
352,[LRドッカン]LR天津飯&餃子ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
353,SSR(力)超サイヤ人2ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
354,SSR(速)ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
355,SSR(知)ビルスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
356,[LRドッカン]UR+ベジットドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
357,[LRドッカン]LRSSGSSベジットドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
358,[超激](知)超サイヤ人3バーダックドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
359,[超激](速)超サイヤ人バーダックドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
360,SSR(速)超サイヤ人3孫悟空(GT)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
361,SSR(力)超サイヤ人3ベジータ(GT)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
362,[LRドッカン]UR+孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
363,[LRドッカン]LR超サイヤ人3孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
364,[超激](速)タピオン(ヒルデガーン)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
365,[超激](技)タピオンドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
366,SR(技)トランクス(幼年期)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
400,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step1,極限Z覚醒：超サイヤ人ブロリーstep1,2024-07-23 00:22:07,2024-07-23 00:22:07
401,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step2,極限Z覚醒：超サイヤ人ブロリーstep2,2024-07-23 00:22:07,2024-07-23 00:22:07
402,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step3,極限Z覚醒：超サイヤ人ブロリーstep3,2024-07-23 00:22:07,2024-07-23 00:22:07
403,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step4,極限Z覚醒：超サイヤ人ブロリーstep4,2024-07-23 00:22:07,2024-07-23 00:22:07
404,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step5,極限Z覚醒：超サイヤ人ブロリーstep5,2024-07-23 00:22:07,2024-07-23 00:22:07
405,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step6,極限Z覚醒：超サイヤ人ブロリーstep6,2024-07-23 00:22:07,2024-07-23 00:22:07
406,[極限]UR(力)伝説の超サイヤ人ブロリー極限Z覚醒step7,極限Z覚醒：超サイヤ人ブロリーstep7,2024-07-23 00:22:07,2024-07-23 00:22:07
407,[超激](技)超サイヤ人ゴッドSSベジットドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
408,[超激](力)ゴクウブラック(超サイヤ人ロゼ)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
409,[超激](力)超サイヤ人トランクス(未来)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
410,[超激](知)ザマスドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
411,SSR(体)孫悟空ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
412,SSR(力)孫悟飯(幼年期)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
413,[LRドッカン]UR+悟空&ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
414,[LRドッカン]LR超サイヤ人悟空&ベジータドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
415,[LRドッカン]UR+悟空&ベジータ(天使)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
416,[LRドッカン]LR超サイヤ人悟空&ベジータ(天使)ドッカン覚醒,ドッカン覚醒ルート,2024-07-23 00:22:07,2024-07-23 00:22:07
417,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step1,極限Z覚醒：孫悟飯(幼年期)step1,2024-07-23 00:22:07,2024-07-23 00:22:07
418,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step2,極限Z覚醒：孫悟飯(幼年期)step2,2024-07-23 00:22:07,2024-07-23 00:22:07
419,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step3,極限Z覚醒：孫悟飯(幼年期)step3,2024-07-23 00:22:07,2024-07-23 00:22:07
420,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step4,極限Z覚醒：孫悟飯(幼年期)step4,2024-07-23 00:22:07,2024-07-23 00:22:07
421,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step5,極限Z覚醒：孫悟飯(幼年期)step5,2024-07-23 00:22:07,2024-07-23 00:22:07
422,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step6,極限Z覚醒：孫悟飯(幼年期)step6,2024-07-23 00:22:07,2024-07-23 00:22:07
423,[極限]UR(力)孫悟飯(幼年期)極限Z覚醒step7,極限Z覚醒：孫悟飯(幼年期)step7,2024-07-23 00:22:07,2024-07-23 00:22:07
